point,x,y,z
gcp 1,15.0834177682163,29.792237385424,-1.48
gcp 2,15.971868616524,47.3287693997688,-2.76
gcp 3,-4.12484283467457,46.1974476739704,-2.64
gcp 4,-4.61675011035427,28.4961333941737,-1.35
