,E,Hm0,Tm01,Tm02,Tp,h_min,h_max,h_avg,h_std,Nt,label
629,0.021827315396159258,0.5909628129912644,16.246105744482506,8.055632577738072,100.0138888888889,0.20118044999999998,1.0854804500000002,0.20118044999999998,0.1434552904353671,75.0,1
630,0.01604014271324714,0.5065987400418148,13.377932221745562,7.2750059231282584,25.003472222222225,0.15788044999999998,0.95968045,0.15788044999999998,0.12500724230848628,81.0,1
631,0.016993161324622065,0.5214312813726781,15.02258591365755,7.6103094271583105,112.51562500000001,0.12088045,0.89928045,0.12088045,0.1339841246884145,72.0,1
632,0.014840360063419017,0.487284066038183,17.44083278327666,8.251349162819198,75.01041666666667,0.10238045,0.74068045,0.10238045,0.12348752531152478,74.0,1
633,0.012912395167966478,0.45453088199534214,14.66191290517753,6.923957869063134,128.58928571428572,0.06258045,0.7556804500000001,0.06258045,0.11260597907740111,81.0,1
634,0.01368245958907658,0.4678881847463401,15.778237497562058,8.181554237932115,23.080128205128208,0.06968045,0.6738804500000001,0.06968045,0.12350065553955347,70.0,1
635,0.015457564789191398,0.4973138210698174,18.140168983444518,8.77096638180913,112.51562500000001,0.06548045,0.8117804500000001,0.06548045,0.12077571629605145,72.0,1
636,0.026259008460066142,0.6481852631470869,36.371112273841405,12.313476808296567,128.58928571428572,0.004280449999999999,0.78758045,0.004280449999999999,0.1313336205619939,57.0,1
637,0.013680327458564656,0.4678517279406313,18.39109279522682,9.238300290380723,21.95426829268293,0.04698045,0.68028045,0.04698045,0.12036954418120052,63.0,1
638,0.04812782979772261,0.8775222371903527,8.512454159204825,6.435998777413134,14.756147540983607,1.2233452999999996,2.6314452999999998,1.2233452999999996,0.2330893472525627,90.0,1
639,0.047541071099339235,0.8721566015283194,8.902153471906333,6.601900684787641,13.045289855072465,1.2539452999999996,2.5853452999999997,1.2539452999999996,0.21784053325875072,84.0,1
640,0.04088469784902855,0.808798593955539,7.937191558940412,5.947326529468122,14.756147540983607,1.1409452999999996,2.6592453,1.1409452999999996,0.21853014436405133,91.0,1
641,0.05148587734623534,0.9076199852029292,8.121686654761366,6.135498332146447,15.519396551724139,1.2602452999999996,2.7487453,1.2602452999999996,0.22930186999794466,87.0,1
642,0.04387113767989272,0.8378175236161414,7.857618041772951,5.9432897685518595,14.287698412698413,1.2652452999999997,2.5277453,1.2652452999999997,0.21238947660412424,87.0,1
643,0.05062476238779261,0.8999978878890115,8.730729803832947,6.417730874095064,13.237132352941176,1.1728452999999996,2.7998453,1.1728452999999996,0.21998662111172065,86.0,1
644,0.042607650936035184,0.8256648321059599,9.178436680554572,6.533724059779679,15.002083333333337,1.1728452999999996,2.5220453,1.1728452999999996,0.20496050176659575,94.0,1
645,0.04431339962416516,0.8420299246384552,9.127274672014723,6.562255958345815,15.002083333333337,1.1721452999999997,2.6194452999999998,1.1721452999999997,0.20706353370074232,85.0,1
646,0.04297184813307916,0.8291860889627047,9.536073941836436,6.815278263426316,13.848076923076926,1.1181452999999997,2.2982453,1.1181452999999997,0.20017956302302628,84.0,1
647,0.03541542956574158,0.7527595054543418,9.097767309192506,6.542761153882512,14.064453125000002,0.9995452999999996,2.1398452999999997,0.9995452999999996,0.1823634509300232,86.0,1
648,0.03671786827488226,0.7664762829977951,10.107635904279682,6.851371879545427,16.073660714285715,0.9227452999999997,2.0723453,0.9227452999999997,0.1880515308809616,80.0,1
649,0.03067774597171405,0.7006025517705633,9.940744886037713,6.81529938310694,15.256355932203391,0.8552452999999997,2.0332453,0.8552452999999997,0.17145709941504772,91.0,1
650,0.021970191464359235,0.5928938045128721,9.054432737368964,6.199934954787574,16.983490566037737,0.8290452999999997,1.8954452999999996,0.8290452999999997,0.16341252044009752,94.0,1
651,0.020768337361756095,0.5764489550585529,9.257461747493677,6.222142237544088,15.256355932203391,0.7074452999999996,1.6779452999999995,0.7074452999999996,0.15210031051415565,86.0,1
652,0.022487964751028024,0.5998395085491188,10.214309333115523,6.738009747475309,15.002083333333337,0.6961452999999996,1.5792452999999997,0.6961452999999996,0.1477639021721375,87.0,1
653,0.020383492725883474,0.5710830794325249,10.924386502953386,6.992996631913239,15.519396551724139,0.6094452999999996,1.4946452999999997,0.6094452999999996,0.14462030473223098,78.0,1
654,0.019260809195491238,0.5551332697000422,12.610149297384915,7.499061889402431,15.256355932203391,0.5760452999999996,1.3028452999999995,0.5760452999999996,0.13534529489131586,84.0,1
655,0.02366975165770869,0.6153990790725471,16.103786495453207,8.869882128170032,100.0138888888889,0.4673452999999997,1.3710452999999996,0.4673452999999997,0.15183664135155014,69.0,1
656,0.016757313415063653,0.5178001686374952,13.289335025387647,7.907411810260973,25.003472222222225,0.4368452999999997,1.1934452999999996,0.4368452999999997,0.12494614209442377,75.0,1
657,0.017481211684658857,0.5288661333026928,15.438209450802933,8.739381684667425,112.51562500000001,0.3685452999999997,1.1465452999999997,0.3685452999999997,0.13478501818856894,69.0,1
658,0.013855116707515469,0.47083103903656087,16.96566077392867,8.99916817604746,75.01041666666667,0.3337452999999997,0.9859452999999997,0.3337452999999997,0.11938132122892832,74.0,1
659,0.014693651356442804,0.48486948935057245,17.365888956114144,9.159104261654896,32.14732142857143,0.2804452999999997,0.9923452999999997,0.2804452999999997,0.11720331124946948,70.0,1
660,0.013146987521022013,0.4586412545076513,15.793189736852131,9.077482514148805,23.080128205128208,0.2812452999999997,0.9206452999999997,0.2812452999999997,0.1222556659036933,65.0,1
661,0.015174240440243224,0.4927350678040803,19.174993122982325,10.308140334134482,112.51562500000001,0.26344529999999966,1.0421452999999996,0.26344529999999966,0.12271996189131928,60.0,1
662,0.024212181336885637,0.6224105569398467,35.94947598282491,14.606112825403697,128.58928571428572,0.2115452999999997,1.0449452999999997,0.2115452999999997,0.12857789082389348,53.0,1
663,0.014375357193400306,0.4795891106920641,19.783476672630403,11.10925344247641,26.47426470588235,0.2407452999999997,0.8509452999999997,0.2407452999999997,0.12151284465908122,62.0,1
664,0.040241878573625184,0.802415140172469,7.691833944360285,5.575150980537441,15.79166666666667,0.8802566000000045,2.2332566000000043,0.8802566000000045,0.19914987715274274,99.0,1
665,0.04124562589433897,0.8123607661066747,8.19037545922512,5.848332200763978,15.519396551724139,0.9080566000000045,2.072456600000004,0.9080566000000045,0.2054770107495689,96.0,1
