,PT,leading_time,wave_id,crest_depth,trough_depth_a,trough_depth_b,wave_height,wave_period,wave_steepness,wave_skewness,wave_kurtosis,ursell_number,mean_water_depth_gamma,trough_depth_gamma,crest_depth_gamma,wavenumber,angular_frequency,wavelenght,a,b,va,b0,mean_water_depth,Hrms,Hm0,Tm01,Tm02,broken,FID,location
10,HP4,20170706:1000,10,0.6943,0.6461,0.6185,0.0482,4.7,0.004,-0.481,-0.3078,25.7536,0.0726,0.0746,0.0694,0.5234,1.3368,12.005,0.5957,0.4043,0.1477,0.2174,0.67,0.23,0.31,11.8,4.6,0,1,Anna_Bay
11,HP4,20170706:1000,11,0.6858,0.6036,0.5866,0.0822,6.4,0.005,0.9106,0.0852,100.6589,0.1322,0.1362,0.1199,0.3829,0.9817,16.4109,0.1094,0.8906,0.1072,0.2267,0.67,0.23,0.31,11.8,4.6,0,1,Anna_Bay
12,HP4,20170706:1000,12,0.7715,0.5852,0.6214,0.1863,1.9,0.0416,0.1783,-1.2824,18.6198,0.2768,0.3183,0.2415,1.4039,3.3069,4.4757,0.4211,0.5789,0.4061,0.1736,0.67,0.23,0.31,11.8,4.6,1,1,Anna_Bay
13,HP4,20170706:1000,13,0.7503,0.6206,0.6348,0.1297,3.6,0.0138,0.1918,-0.9367,47.7878,0.1907,0.209,0.1729,0.6695,1.7453,9.3848,0.25,0.75,0.2084,0.219,0.67,0.23,0.31,11.8,4.6,0,1,Anna_Bay
14,HP4,20170706:1000,14,0.6887,0.6284,0.5449,0.0603,9.4,0.0025,-0.1245,-1.1403,143.4938,0.0976,0.096,0.0876,0.2586,0.6684,24.3014,0.1064,0.8936,0.0733,0.6906,0.67,0.23,0.31,11.8,4.6,0,1,Anna_Bay
15,HP4,20170706:1000,15,0.6695,0.5441,0.5498,0.1254,5.6,0.0089,0.612,-1.286,155.7146,0.2126,0.2305,0.1873,0.4442,1.122,14.1434,0.2857,0.7143,0.1196,0.26,0.67,0.23,0.31,11.8,4.6,0,1,Anna_Bay
16,HP4,20170706:1000,16,0.7014,0.5491,0.6249,0.1523,2,0.0329,-0.1084,-1.2581,19.6848,0.2434,0.2774,0.2171,1.3582,3.1416,4.6261,0.55,0.45,0.3507,0.1573,0.67,0.23,0.31,11.8,4.6,1,1,Anna_Bay
17,HP4,20170706:1000,17,0.6964,0.6235,0.6036,0.0729,4.8,0.0059,0.1687,-0.6788,45.4177,0.1114,0.1169,0.1047,0.5113,1.309,12.2891,0.1875,0.8125,0.1451,0.2478,0.67,0.23,0.31,11.8,4.6,0,1,Anna_Bay
18,HP4,20170706:1000,18,0.6391,0.5994,0.564,0.0397,4.7,0.0034,0.0101,0.0516,24.5382,0.0659,0.0662,0.0621,0.5446,1.3368,11.5377,0.1702,0.8298,0.136,0.184,0.67,0.23,0.31,11.8,4.6,0,1,Anna_Bay
19,HP4,20170706:1000,19,0.6957,0.5633,0.5222,0.1324,10.6,0.0048,0.3584,-0.1216,563.0877,0.2191,0.235,0.1903,0.2279,0.5928,27.5724,0.2358,0.7642,0.0656,0.8768,0.67,0.23,0.31,11.8,4.6,1,1,Anna_Bay
20,HP4,20170706:1000,20,0.7581,0.5215,0.564,0.2366,15.5,0.0056,0.5029,-0.7565,2966.7932,0.385,0.4537,0.3121,0.149,0.4054,42.1735,0.4903,0.5097,0.0489,1.4482,0.67,0.23,0.31,11.8,4.6,1,1,Anna_Bay
21,HP4,20170706:1000,21,0.7538,0.5633,0.6136,0.1905,4.4,0.0164,1.2732,0.5619,144.6376,0.3084,0.3382,0.2527,0.5393,1.428,11.6499,0.8864,0.1136,0.1713,0.2423,0.67,0.23,0.31,11.8,4.6,1,1,Anna_Bay
22,HP4,20170706:1000,22,0.7418,0.6036,0.6469,0.1382,2.6,0.0213,-0.2246,-0.3736,26.5005,0.2043,0.229,0.1863,0.9675,2.4166,6.4941,0.3077,0.6923,0.2853,0.1941,0.67,0.23,0.31,11.8,4.6,0,1,Anna_Bay
23,HP4,20170706:1000,23,0.7021,0.6454,0.6433,0.0567,4.1,0.0054,0.0584,-1.2884,23.0574,0.0844,0.0879,0.0808,0.6009,1.5325,10.4562,0.1463,0.8537,0.1712,0.1202,0.67,0.23,0.31,11.8,4.6,0,1,Anna_Bay
24,HP4,20170706:1000,24,0.7049,0.6376,0.666,0.0673,4.3,0.0061,1.0287,-0.0595,31.5045,0.1022,0.1055,0.0955,0.5704,1.4612,11.0159,0.8372,0.1628,0.1639,0.0895,0.67,0.23,0.31,11.8,4.6,1,1,Anna_Bay
25,HP4,20170706:1000,25,0.8055,0.6667,0.6603,0.1388,4.9,0.0103,0.8395,-0.7139,84.8665,0.1942,0.2082,0.1723,0.4668,1.2823,13.4613,0.6122,0.3878,0.1644,0.2712,0.67,0.23,0.31,11.8,4.6,0,1,Anna_Bay
26,HP4,20170706:1000,26,0.7397,0.6546,0.6079,0.0851,7.1,0.0045,0.5118,-1.1373,108.7596,0.1287,0.13,0.115,0.3318,0.885,18.9344,0.1408,0.8592,0.1042,0.3799,0.67,0.23,0.31,11.8,4.6,0,1,Anna_Bay
27,HP4,20170706:1000,27,0.7411,0.6072,0.6376,0.1339,4.9,0.0104,-0.2352,-0.9431,100.0774,0.1974,0.2205,0.1807,0.4857,1.2823,12.9358,0.5918,0.4082,0.1512,0.3546,0.67,0.23,0.31,11.8,4.6,1,1,Anna_Bay
28,HP4,20170706:1000,28,0.6858,0.6327,0.6306,0.0531,3.1,0.0069,1.0833,-0.2456,12.2784,0.082,0.0839,0.0774,0.821,2.0268,7.6531,0.2258,0.7742,0.2212,0.0552,0.67,0.23,0.31,11.8,4.6,0,1,Anna_Bay
29,HP4,20170706:1000,29,0.8594,0.6299,0.7567,0.2295,5.9,0.0136,-0.5967,-1.1105,260.5131,0.3046,0.3643,0.267,0.373,1.0649,16.8441,0.5254,0.4746,0.1457,0.7345,0.67,0.23,0.31,11.8,4.6,1,1,Anna_Bay
30,HP4,20170706:1000,30,0.9989,0.7559,0.6058,0.243,28,0.0028,0.4519,-0.622,4313.2682,0.3183,0.3215,0.2433,0.0718,0.2244,87.5612,0.1786,0.8214,0.0357,4.4196,0.67,0.23,0.31,11.8,4.6,1,1,Anna_Bay
31,HP4,20170706:1000,31,0.7814,0.6044,0.6447,0.177,10.6,0.0061,-0.0519,-0.8708,683.7752,0.2512,0.2928,0.2265,0.2151,0.5928,29.2062,0.1981,0.8019,0.0737,1.0708,0.67,0.23,0.31,11.8,4.6,1,1,Anna_Bay
