,PT,leading_time,wave_id,crest_depth,trough_depth_a,trough_depth_b,wave_height,wave_period,wave_steepness,wave_skewness,wave_kurtosis,ursell_number,mean_water_depth_gamma,trough_depth_gamma,crest_depth_gamma,wavenumber,angular_frequency,wavelenght,a,b,va,b0,mean_water_depth,Hrms,Hm0,Tm01,Tm02,broken,FID,location
46,008_UQ_RBR03,20180614:1130,46,0.6563,0.5717,0.5532,0.0846,2.8,0.0126,0.1445,-1.2812,20.3413,0.1399,0.148,0.1289,0.9374,2.244,6.7028,0.3929,0.6071,0.2344,0.148,0.63,0.24,0.35,5.2,3.5,0,1,Seven_Mile_Beach_2018
0,007_UQ_RBR04,20180614:1130,0,0.7078,0.475,0.5178,0.2328,6.1,0.0147,0.4754,-0.3594,546.6134,0.4036,0.49,0.3289,0.396,1.03,15.8654,0.2951,0.7049,0.116,0.6283,0.57,0.2,0.29,5.5,3.6,1,1,Seven_Mile_Beach_2018
1,007_UQ_RBR04,20180614:1130,1,0.6393,0.5131,0.5143,0.1263,3.8,0.0137,0.4124,-1.3586,79.6688,0.2221,0.2461,0.1975,0.6806,1.6535,9.2314,0.7632,0.2368,0.1682,0.2159,0.57,0.2,0.29,5.5,3.6,0,1,Seven_Mile_Beach_2018
2,007_UQ_RBR04,20180614:1130,2,0.8236,0.5031,0.452,0.3205,11.2,0.0101,0.5962,-0.1008,2528.6882,0.5417,0.6372,0.3892,0.1983,0.561,31.6897,0.25,0.75,0.0735,1.576,0.57,0.2,0.29,5.5,3.6,1,1,Seven_Mile_Beach_2018
3,007_UQ_RBR04,20180614:1130,3,0.7465,0.4518,0.4457,0.2946,14.3,0.0076,1.2922,1.1902,4757.9714,0.5701,0.6521,0.3947,0.1628,0.4394,38.5955,0.0909,0.9091,0.0522,1.0231,0.57,0.2,0.29,5.5,3.6,1,1,Seven_Mile_Beach_2018
4,007_UQ_RBR04,20180614:1130,4,0.6713,0.4441,0.5377,0.2272,6.6,0.0136,-0.1347,-1.0733,728.7344,0.4129,0.5117,0.3385,0.3749,0.952,16.7591,0.3788,0.6212,0.1017,0.7068,0.57,0.2,0.29,5.5,3.6,1,1,Seven_Mile_Beach_2018
5,007_UQ_RBR04,20180614:1130,5,0.7001,0.535,0.5695,0.1651,5.4,0.0119,0.0771,-0.4234,209.0232,0.2705,0.3087,0.2359,0.4513,1.1636,13.9209,0.2222,0.7778,0.1296,0.4141,0.57,0.2,0.29,5.5,3.6,0,1,Seven_Mile_Beach_2018
6,007_UQ_RBR04,20180614:1130,6,0.8059,0.5681,0.524,0.2378,11.9,0.0071,0.9586,-0.2251,1440.9088,0.3835,0.4187,0.2951,0.1885,0.528,33.3259,0.0924,0.9076,0.0677,1.1516,0.57,0.2,0.29,5.5,3.6,1,1,Seven_Mile_Beach_2018
7,007_UQ_RBR04,20180614:1130,7,0.7666,0.5237,0.4819,0.2429,10.7,0.0083,0.5887,-0.2371,1442.9064,0.4183,0.4639,0.3169,0.2151,0.5872,29.2069,0.1215,0.8785,0.0716,1.0655,0.57,0.2,0.29,5.5,3.6,1,1,Seven_Mile_Beach_2018
8,007_UQ_RBR04,20180614:1130,8,0.6971,0.481,0.6173,0.2161,4,0.0213,-1.4417,1.242,200.0821,0.3443,0.4492,0.31,0.6189,1.5708,10.1517,0.25,0.75,0.1743,0.5937,0.57,0.2,0.29,5.5,3.6,1,1,Seven_Mile_Beach_2018
